Vinnytsia	Simferopol	Lutsk	Dnipro	Donetsk	Zhytomyr	Uzhgorod	Zaporozhye	Ivano-Frankivsk	Kyiv	Kropyvnytskyi	Luhansk	Lviv	Mykolaiv	Odesa	Poltava	Rivne	Sumy	Ternopil	Kharkiv	Kherson	Khmelnytskyi	Cherkasy	Chernivtsi	Chernihiv
0.0																								
0.0																								
0.0																								
0.0																								
0.0																								
0.0																								
0.0																								
0.0																								
0.0																								
0.0																								
0.0																								
0.0																								
	0.0																							
	0.0																							
	0.0																							
	0.0																							
	0.0																							
	0.0																							
	0.0																							
	0.0																							
	0.0																							
	0.0																							
	0.0																							
	0.0																							
		0.0																						
		0.0																						
		0.0																						
		0.0																						
		0.0																						
		0.0																						
		0.0																						
		0.0																						
		0.0																						
		0.0																						
		0.0																						
		0.0																						
			0.0																					
			0.0																					
			0.0																					
			0.0																					
			0.0																					
			0.0																					
			0.0																					
			0.0																					
			0.0																					
			0.0																					
			0.0																					
			0.0																					
				0.0																				
				0.0																				
				0.0																				
				0.0																				
				0.0																				
				0.0																				
				0.0																				
				0.0																				
				0.0																				
				0.0																				
				0.0																				
				0.0																				
					0.0																			
					0.0																			
					0.0																			
					0.0																			
					0.0																			
					0.0																			
					0.0																			
					0.0																			
					0.0																			
					0.0																			
					0.0																			
					0.0																			
						0.0																		
						0.0																		
						0.0																		
						0.0																		
						0.0																		
						0.0																		
						0.0																		
						0.0																		
						0.0																		
						0.0																		
						0.0																		
						0.0																		
							0.0																	
							0.0																	
							0.0																	
							0.0																	
							0.0																	
							0.0																	
							0.0																	
							0.0																	
							0.0																	
							0.0																	
							0.0																	
							0.0																	
								0.0																
								0.0																
								0.0																
								0.0																
								0.0																
								0.0																
								0.0																
								0.0																
								0.0																
								0.0																
								0.0																
								0.0																
									0.0															
									0.0															
									0.0															
									0.0															
									0.0															
									0.0															
									0.0															
									0.0															
									0.0															
									0.0															
									0.0															
									0.0															
										0.0														
										0.0														
										0.0														
										0.0														
										0.0														
										0.0														
										0.0														
										0.0														
										0.0														
										0.0														
										0.0														
										0.0														
											0.0													
											0.0													
											0.0													
											0.0													
											0.0													
											0.0													
											0.0													
											0.0													
											0.0													
											0.0													
											0.0													
											0.0													
												0.0												
												0.0												
												0.0												
												0.0												
												0.0												
												0.0												
												0.0												
												0.0												
												0.0												
												0.0												
												0.0												
												0.0												
													0.0											
													0.0											
													0.0											
													0.0											
													0.0											
													0.0											
													0.0											
													0.0											
													0.0											
													0.0											
													0.0											
													0.0											
														0.0										
														0.0										
														0.0										
														0.0										
														0.0										
														0.0										
														0.0										
														0.0										
														0.0										
														0.0										
														0.0										
														0.0										
															0.0									
															0.0									
															0.0									
															0.0									
															0.0									
															0.0									
															0.0									
															0.0									
															0.0									
															0.0									
															0.0									
															0.0									
																0.0								
																0.0								
																0.0								
																0.0								
																0.0								
																0.0								
																0.0								
																0.0								
																0.0								
																0.0								
																0.0								
																0.0								
																	0.0							
																	0.0							
																	0.0							
																	0.0							
																	0.0							
																	0.0							
																	0.0							
																	0.0							
																	0.0							
																	0.0							
																	0.0							
																	0.0							
																		0.0						
																		0.0						
																		0.0						
																		0.0						
																		0.0						
																		0.0						
																		0.0						
																		0.0						
																		0.0						
																		0.0						
																		0.0						
																		0.0						
																			0.0					
																			0.0					
																			0.0					
																			0.0					
																			0.0					
																			0.0					
																			0.0					
																			0.0					
																			0.0					
																			0.0					
																			0.0					
																			0.0					
																				0.0				
																				0.0				
																				0.0				
																				0.0				
																				0.0				
																				0.0				
																				0.0				
																				0.0				
																				0.0				
																				0.0				
																				0.0				
																				0.0				
																					0.0			
																					0.0			
																					0.0			
																					0.0			
																					0.0			
																					0.0			
																					0.0			
																					0.0			
																					0.0			
																					0.0			
																					0.0			
																					0.0			
																						0.0		
																						0.0		
																						0.0		
																						0.0		
																						0.0		
																						0.0		
																						0.0		
																						0.0		
																						0.0		
																						0.0		
																						0.0		
																						0.0		
																							0.0	
																							0.0	
																							0.0	
																							0.0	
																							0.0	
																							0.0	
																							0.0	
																							0.0	
																							0.0	
																							0.0	
																							0.0	
																							0.0	
																								0.0
																								0.0
																								0.0
																								0.0
																								0.0
																								0.0
																								0.0
																								0.0
																								0.0
																								0.0
																								0.0
																								0.0
