Крим	Вінниччина	Волинь	Дніпропетровщина	Донеччина	Житомирщина	Закарпаття	Запоріжжя	Івано-Франківщина	Київщина	Кіровоградщина	Луганщина	Львівщина	Миколаївщина	Одещина	Полтавщина	Рівненщина	Сумщина	Тернопільщина	Харківщина	Херсонщина	Хмельниччина	Черкащина	Буковина	Чернігівщина
0.0																								
0.0																								
0.0																								
0.0																								
0.0																								
0.0																								
0.0																								
0.0																								
0.0																								
0.0																								
0.0																								
0.0																								
	0.0																							
	0.0																							
	0.0																							
	0.0																							
	0.0																							
	0.0																							
	0.0																							
	0.0																							
	0.0																							
	0.0																							
	0.0																							
	0.0																							
		0.0																						
		0.0																						
		0.0																						
		0.0																						
		0.0																						
		0.0																						
		0.0																						
		0.0																						
		0.0																						
		0.0																						
		0.0																						
		0.0																						
			0.0																					
			0.0																					
			0.0																					
			0.0																					
			0.0																					
			0.0																					
			0.0																					
			0.0																					
			0.0																					
			0.0																					
			0.0																					
			0.0																					
				0.0																				
				0.0																				
				0.0																				
				0.0																				
				0.0																				
				0.0																				
				0.0																				
				0.0																				
				0.0																				
				0.0																				
				0.0																				
				0.0																				
					0.0																			
					0.0																			
					0.0																			
					0.0																			
					0.0																			
					0.0																			
					0.0																			
					0.0																			
					0.0																			
					0.0																			
					0.0																			
					0.0																			
						0.0																		
						0.0																		
						0.0																		
						0.0																		
						0.0																		
						0.0																		
						0.0																		
						0.0																		
						0.0																		
						0.0																		
						0.0																		
						0.0																		
							0.0																	
							0.0																	
							0.0																	
							0.0																	
							0.0																	
							0.0																	
							0.0																	
							0.0																	
							0.0																	
							0.0																	
							0.0																	
							0.0																	
								0.0																
								0.0																
								0.0																
								0.0																
								0.0																
								0.0																
								0.0																
								0.0																
								0.0																
								0.0																
								0.0																
								0.0																
									0.0															
									0.0															
									0.0															
									0.0															
									0.0															
									0.0															
									0.0															
									0.0															
									0.0															
									0.0															
									0.0															
									0.0															
										0.0														
										0.0														
										0.0														
										0.0														
										0.0														
										0.0														
										0.0														
										0.0														
										0.0														
										0.0														
										0.0														
										0.0														
											0.0													
											0.0													
											0.0													
											0.0													
											0.0													
											0.0													
											0.0													
											0.0													
											0.0													
											0.0													
											0.0													
											0.0													
												0.0												
												0.0												
												0.0												
												0.0												
												0.0												
												0.0												
												0.0												
												0.0												
												0.0												
												0.0												
												0.0												
												0.0												
													0.0											
													0.0											
													0.0											
													0.0											
													0.0											
													0.0											
													0.0											
													0.0											
													0.0											
													0.0											
													0.0											
													0.0											
														0.0										
														0.0										
														0.0										
														0.0										
														0.0										
														0.0										
														0.0										
														0.0										
														0.0										
														0.0										
														0.0										
														0.0										
															0.0									
															0.0									
															0.0									
															0.0									
															0.0									
															0.0									
															0.0									
															0.0									
															0.0									
															0.0									
															0.0									
															0.0									
																0.0								
																0.0								
																0.0								
																0.0								
																0.0								
																0.0								
																0.0								
																0.0								
																0.0								
																0.0								
																0.0								
																0.0								
																	0.0							
																	0.0							
																	0.0							
																	0.0							
																	0.0							
																	0.0							
																	0.0							
																	0.0							
																	0.0							
																	0.0							
																	0.0							
																	0.0							
																		0.0						
																		0.0						
																		0.0						
																		0.0						
																		0.0						
																		0.0						
																		0.0						
																		0.0						
																		0.0						
																		0.0						
																		0.0						
																		0.0						
																			0.0					
																			0.0					
																			0.0					
																			0.0					
																			0.0					
																			0.0					
																			0.0					
																			0.0					
																			0.0					
																			0.0					
																			0.0					
																			0.0					
																				0.0				
																				0.0				
																				0.0				
																				0.0				
																				0.0				
																				0.0				
																				0.0				
																				0.0				
																				0.0				
																				0.0				
																				0.0				
																				0.0				
																					0.0			
																					0.0			
																					0.0			
																					0.0			
																					0.0			
																					0.0			
																					0.0			
																					0.0			
																					0.0			
																					0.0			
																					0.0			
																					0.0			
																						0.0		
																						0.0		
																						0.0		
																						0.0		
																						0.0		
																						0.0		
																						0.0		
																						0.0		
																						0.0		
																						0.0		
																						0.0		
																						0.0		
																							0.0	
																							0.0	
																							0.0	
																							0.0	
																							0.0	
																							0.0	
																							0.0	
																							0.0	
																							0.0	
																							0.0	
																							0.0	
																							0.0	
																								0.0
																								0.0
																								0.0
																								0.0
																								0.0
																								0.0
																								0.0
																								0.0
																								0.0
																								0.0
																								0.0
																								0.0
